Season,TEAM_ID,TEAM_NAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
2011-12,1610612741,Chicago Bulls,1058,1809,0.585,263,662,0.397,727,1874,0.388,57,137,0.416,54,161,0.335,308,805,0.383,0,13,0
2011-12,1610612739,Cleveland Cavaliers,1093,1927,0.567,291,873,0.333,437,1287,0.34,53,148,0.358,62,165,0.376,325,954,0.341,0,6,0
2011-12,1610612742,Dallas Mavericks,913,1451,0.629,319,867,0.368,669,1630,0.41,55,157,0.35,64,180,0.356,378,1117,0.338,0,10,0
2011-12,1610612743,Denver Nuggets,1474,2380,0.619,287,719,0.399,376,994,0.378,81,240,0.338,69,177,0.39,284,871,0.326,1,22,0.045
2011-12,1610612765,Detroit Pistons,1057,1859,0.569,310,810,0.383,607,1647,0.369,55,133,0.414,31,100,0.31,231,669,0.345,0,14,0
2011-12,1610612744,Golden State Warriors,969,1613,0.601,287,775,0.37,708,1703,0.416,82,185,0.443,91,193,0.472,351,961,0.365,1,13,0.077
2011-12,1610612745,Houston Rockets,1001,1617,0.619,349,968,0.361,661,1628,0.406,95,214,0.444,75,174,0.431,308,932,0.33,0,9,0
2011-12,1610612754,Indiana Pacers,971,1721,0.564,389,986,0.395,602,1604,0.375,51,141,0.362,58,166,0.349,282,744,0.379,1,12,0.083
2011-12,1610612746,Los Angeles Clippers,1042,1631,0.639,250,673,0.371,633,1621,0.39,86,217,0.396,67,210,0.319,359,1000,0.359,0,10,0
2011-12,1610612747,Los Angeles Lakers,1023,1611,0.635,381,968,0.394,663,1628,0.407,54,153,0.353,57,169,0.337,249,780,0.319,1,9,0.111
2011-12,1610612763,Memphis Grizzlies,1078,1798,0.6,411,1051,0.391,659,1724,0.382,32,90,0.356,41,110,0.373,203,629,0.323,1,20,0.05
2011-12,1610612748,Miami Heat,1101,1748,0.63,302,770,0.392,673,1663,0.405,65,174,0.374,62,177,0.35,242,675,0.359,1,5,0.2
2011-12,1610612749,Milwaukee Bucks,1115,1909,0.584,258,719,0.359,693,1759,0.394,43,138,0.312,72,186,0.387,315,926,0.34,0,8,0
2011-12,1610612750,Minnesota Timberwolves,1093,1826,0.599,254,752,0.338,535,1433,0.373,76,216,0.352,58,154,0.377,339,1043,0.325,0,9,0
2011-12,1610612751,New Jersey Nets,847,1538,0.551,258,635,0.406,650,1666,0.39,75,230,0.326,65,186,0.349,366,1057,0.346,1,8,0.125
2011-12,1610612740,New Orleans Hornets,943,1613,0.585,384,923,0.416,714,1790,0.399,37,103,0.359,42,111,0.378,180,559,0.322,0,4,0
2011-12,1610612752,New York Knicks,1148,1858,0.618,187,586,0.319,513,1353,0.379,66,199,0.332,67,183,0.366,384,1144,0.336,0,12,0
2011-12,1610612760,Oklahoma City Thunder,1100,1717,0.641,282,738,0.382,608,1455,0.418,47,121,0.388,57,134,0.425,368,1055,0.349,0,9,0
2011-12,1610612753,Orlando Magic,1002,1666,0.601,231,613,0.377,372,1098,0.339,85,219,0.388,80,181,0.442,505,1377,0.367,0,8,0
2011-12,1610612755,Philadelphia 76ers,896,1488,0.602,387,969,0.399,839,2095,0.4,33,107,0.308,34,97,0.351,282,755,0.374,0,5,0
2011-12,1610612756,Phoenix Suns,990,1548,0.64,344,830,0.414,717,1772,0.405,54,157,0.344,58,161,0.36,332,966,0.344,0,11,0
2011-12,1610612757,Portland Trail Blazers,1028,1763,0.583,257,654,0.393,639,1618,0.395,92,234,0.393,78,197,0.396,308,936,0.329,0,15,0
2011-12,1610612758,Sacramento Kings,1259,2107,0.598,340,961,0.354,480,1343,0.357,58,172,0.337,66,189,0.349,286,928,0.308,1,12,0.083
2011-12,1610612759,San Antonio Spurs,1107,1729,0.64,386,937,0.412,566,1392,0.407,96,234,0.41,94,219,0.429,362,946,0.383,0,6,0
2011-12,1610612761,Toronto Raptors,955,1568,0.609,267,662,0.403,681,1849,0.368,48,125,0.384,43,140,0.307,274,798,0.343,0,12,0
2011-12,1610612762,Utah Jazz,1219,1924,0.634,424,1053,0.403,607,1709,0.355,31,89,0.348,24,79,0.304,218,665,0.328,0,12,0
2011-12,1610612764,Washington Wizards,1130,1811,0.624,290,844,0.344,650,1745,0.372,68,161,0.422,62,165,0.376,211,740,0.285,1,6,0.167
2010-11,1610612737,Atlanta Hawks,1051,1685,0.624,463,1048,0.442,955,2269,0.421,114,296,0.385,80,214,0.374,307,903,0.34,1,13,0.077
2010-11,1610612738,Boston Celtics,1375,2139,0.643,325,800,0.406,915,2161,0.423,77,161,0.478,62,138,0.449,269,812,0.331,0,8,0
2010-11,1610612766,Charlotte Bobcats,1372,2345,0.585,313,820,0.382,795,1997,0.398,35,115,0.304,50,111,0.45,308,958,0.322,0,18,0
2010-11,1610612741,Chicago Bulls,1410,2312,0.61,307,796,0.386,814,2063,0.395,78,208,0.375,70,188,0.372,363,1003,0.362,0,17,0
2010-11,1610612739,Cleveland Cavaliers,1262,2142,0.589,393,1082,0.363,720,1932,0.373,69,178,0.388,68,186,0.366,374,1120,0.334,0,7,0
2010-11,1610612742,Dallas Mavericks,1136,1727,0.658,387,965,0.401,901,2003,0.45,112,305,0.367,99,231,0.429,433,1214,0.357,1,18,0.056
2010-11,1610612743,Denver Nuggets,1565,2593,0.604,254,651,0.39,664,1665,0.399,112,303,0.37,90,198,0.455,458,1182,0.387,1,17,0.059
2010-11,1610612765,Detroit Pistons,1351,2192,0.616,315,872,0.361,918,2327,0.394,108,270,0.4,81,200,0.405,281,767,0.366,1,18,0.056
